"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"16-Apr-2019","    17200.60","    17444.25","    17194.75","    17411.00","       80868806","         3558.56"
"18-Apr-2019","    17488.80","    17498.15","    17183.90","    17230.90","       96361098","         3898.98"
"22-Apr-2019","    17259.40","    17266.50","    16855.70","    16877.05","       92443537","         4031.93"
"23-Apr-2019","    16920.85","    17010.20","    16748.45","    16760.95","       91297365","         3646.46"
"24-Apr-2019","    16806.00","    17003.50","    16736.95","    16974.15","       84198450","         3735.46"
"25-Apr-2019","    17020.60","    17107.10","    16787.60","    16817.15","      140907442","         5363.85"
"26-Apr-2019","    16946.60","    17082.80","    16803.50","    17062.00","      113560996","         5006.48"
"30-Apr-2019","    16971.75","    16971.75","    16707.95","    16807.40","      292013959","         8195.22"
"02-May-2019","    16768.00","    16892.25","    16720.50","    16754.70","      184584178","         5944.93"
"03-May-2019","    16814.00","    16989.30","    16802.05","    16893.65","      129024142","         4471.23"
"06-May-2019","    16707.45","    16778.10","    16650.65","    16695.20","      151717522","         4237.60"
"07-May-2019","    16764.95","    16818.10","    16484.95","    16509.10","      137436634","         4615.02"
"08-May-2019","    16499.70","    16499.70","    16337.80","    16356.35","      118791615","         3913.41"
"09-May-2019","    16294.70","    16385.30","    16250.55","    16295.65","      157524195","         4504.73"
"10-May-2019","    16310.65","    16443.80","    16272.40","    16322.60","      127705812","         3927.75"
"13-May-2019","    16300.00","    16313.65","    16061.10","    16081.35","      157542478","         3607.90"
"14-May-2019","    16105.90","    16286.65","    16032.90","    16146.70","      173046974","         4708.11"
"15-May-2019","    16195.30","    16229.20","    15959.90","    15998.40","      159279250","         4025.54"
"16-May-2019","    16004.30","    16154.00","    15939.75","    16103.25","      137331902","         3663.15"
"17-May-2019","    16126.65","    16492.75","    16119.55","    16438.00","      188330121","         5288.50"
"20-May-2019","    16850.70","    17171.30","    16790.55","    17130.50","      208062817","         6838.41"
"21-May-2019","    17192.95","    17243.25","    16853.10","    16874.30","      124828587","         4220.34"
"22-May-2019","    16925.10","    17110.55","    16845.75","    17010.05","      138274212","         5989.70"
"23-May-2019","    17230.45","    17638.50","    16928.95","    16988.45","      265603075","        10081.87"
"24-May-2019","    17136.40","    17445.15","    17063.55","    17404.95","      161079578","         5714.71"
"27-May-2019","    17420.50","    17661.05","    17354.75","    17629.05","      144949682","         4709.27"
"28-May-2019","    17673.50","    17691.95","    17463.65","    17617.60","      160753053","         5027.63"
"29-May-2019","    17547.05","    17594.30","    17470.20","    17493.35","      109757279","         3426.58"
"30-May-2019","    17462.05","    17676.70","    17452.55","    17611.95","      120546659","         4320.97"
