Date,Open,High,Low,Close,Shares Traded,Turnover_Cr
5/14/2019,11151.65,11294.75,11108.3,11222.05,398122725,19906.38
5/15/2019,11271.7,11286.8,11136.95,11157,414174258,17931.75
5/16/2019,11180.35,11281.55,11143.35,11257.1,350734572,15629.57
5/17/2019,11261.9,11426.15,11259.85,11407.15,412109200,20177.63
5/20/2019,11651.9,11845.2,11591.7,11828.25,452096261,25223.78
5/21/2019,11863.65,11883.55,11682.8,11709.1,381038129,20324.67
5/22/2019,11727.95,11784.8,11682.4,11737.9,355870667,19582.41
5/23/2019,11901.3,12041.15,11614.5,11657.05,569030654,31180.08
5/24/2019,11748,11859,11658.1,11844.1,374637415,20028.49
5/27/2019,11855.5,11957.15,11812.4,11924.75,348356214,17735.36
5/28/2019,11958.35,11958.55,11864.9,11928.75,598308334,28833.54
5/29/2019,11905.8,11931.9,11836.8,11861.1,318068673,15985.92
5/30/2019,11865.3,11968.55,11859.4,11945.9,421199867,20261.85
