"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"30-Jan-2019","     2168.05","     2205.50","     2145.95","     2197.05","       90442874","          892.86"
"31-Jan-2019","     2202.75","     2205.25","     2109.50","     2173.40","       88748555","         1092.62"
"01-Feb-2019","     2170.05","     2242.25","     2080.10","     2097.25","       73329377","         1254.73"
"04-Feb-2019","     2070.75","     2115.80","     2013.35","     2068.25","       63236692","         1056.13"
"05-Feb-2019","     2055.05","     2128.00","     2048.95","     2115.15","       47772392","          613.97"
"06-Feb-2019","     2124.25","     2215.15","     2124.25","     2201.20","      137257845","         1365.47"
"07-Feb-2019","     2203.75","     2265.60","     2190.00","     2256.65","       50281085","          829.41"
"08-Feb-2019","     2245.40","     2248.95","     2206.65","     2214.35","       53933160","          596.69"
"11-Feb-2019","     2228.15","     2254.15","     2196.85","     2243.60","       61405024","         1076.04"
"12-Feb-2019","     2249.80","     2286.55","     2241.35","     2273.50","       60230810","          750.41"
"13-Feb-2019","     2276.50","     2287.40","     2171.70","     2250.10","       78236291","          970.62"
"14-Feb-2019","     2266.10","     2360.55","     2234.50","     2338.10","       61914230","          951.11"
"15-Feb-2019","     2354.90","     2356.25","     2278.70","     2309.95","       42890586","          772.44"
"18-Feb-2019","     2305.85","     2343.20","     2287.15","     2325.75","       60623956","          635.24"
"19-Feb-2019","     2325.35","     2379.85","     2304.30","     2357.25","       42881242","          715.71"
"20-Feb-2019","     2363.95","     2386.25","     2336.60","     2361.20","       26581609","          555.57"
"21-Feb-2019","     2363.65","     2402.85","     2350.50","     2387.00","       43835300","          568.76"
"22-Feb-2019","     2377.50","     2402.40","     2364.85","     2394.85","       50976564","          566.17"
"25-Feb-2019","     2396.65","     2420.85","     2367.90","     2388.70","       29840482","          438.18"
"26-Feb-2019","     2366.50","     2526.90","     2350.10","     2465.65","       63604167","         1236.44"
"27-Feb-2019","     2477.90","     2515.15","     2419.85","     2443.95","       44708134","         1033.89"
"28-Feb-2019","     2467.60","     2479.20","     2425.35","     2465.45","       38367293","          666.58"
"01-Mar-2019","     2472.50","     2552.65","     2471.45","     2544.60","       46258266","          764.28"
"05-Mar-2019","     2549.25","     2575.35","     2531.70","     2566.30","       38876786","          521.06"
"06-Mar-2019","     2574.30","     2586.95","     2513.30","     2532.80","       30022811","          628.74"
"07-Mar-2019","     2549.65","     2555.95","     2474.25","     2486.05","       27890672","          606.50"
"08-Mar-2019","     2488.60","     2493.75","     2454.70","     2461.25","       29627245","          517.64"
"11-Mar-2019","     2481.60","     2495.10","     2464.45","     2481.55","       26862897","          496.91"
"12-Mar-2019","     2499.85","     2563.45","     2493.35","     2534.45","       30216236","          708.30"
"13-Mar-2019","     2530.45","     2535.80","     2474.00","     2482.65","       23454770","          449.71"
"14-Mar-2019","     2504.55","     2528.80","     2475.40","     2491.75","       27144284","          565.74"
"15-Mar-2019","     2500.55","     2548.60","     2464.30","     2503.95","       46822869","          993.73"
"18-Mar-2019","     2518.60","     2534.50","     2502.00","     2521.55","       28439589","          551.45"
"19-Mar-2019","     2540.00","     2554.50","     2519.90","     2539.35","       23699691","          464.81"
"20-Mar-2019","     2522.20","     2522.20","     2448.00","     2453.55","       24490354","          641.24"
"22-Mar-2019","     2473.05","     2473.40","     2404.90","     2409.80","       27900460","          696.18"
"25-Mar-2019","     2388.10","     2411.55","     2334.35","     2343.35","       33803736","          717.94"
"26-Mar-2019","     2350.70","     2385.70","     2350.60","     2363.40","       29021947","          615.84"
"27-Mar-2019","     2376.60","     2402.90","     2369.55","     2385.65","       29781425","          574.29"
"28-Mar-2019","     2397.35","     2476.50","     2395.75","     2468.65","       40236833","          734.10"
"29-Mar-2019","     2481.25","     2513.90","     2464.10","     2496.60","       35903073","          860.47"
"01-Apr-2019","     2503.95","     2517.65","     2475.00","     2481.00","       40397074","          517.69"
"02-Apr-2019","     2465.25","     2487.10","     2418.00","     2459.45","       51590683","         1144.20"
"03-Apr-2019","     2471.30","     2472.15","     2392.10","     2401.85","       50004723","          779.21"
"04-Apr-2019","     2396.60","     2434.00","     2374.95","     2428.00","       93070449","         1220.35"
"05-Apr-2019","     2442.35","     2451.90","     2427.90","     2440.85","       28767646","          554.33"
"08-Apr-2019","     2447.90","     2463.85","     2408.95","     2415.80","       27187225","          432.19"
"09-Apr-2019","     2422.25","     2426.30","     2393.45","     2410.75","       28070417","          463.72"
"10-Apr-2019","     2408.85","     2434.90","     2394.60","     2404.05","       31764923","          481.10"
"11-Apr-2019","     2412.75","     2424.55","     2388.00","     2408.60","       30436592","          522.29"
"12-Apr-2019","     2408.85","     2447.45","     2406.20","     2442.85","       43302422","          481.09"
"15-Apr-2019","     2448.95","     2457.80","     2429.35","     2433.25","       48040582","          432.20"
"16-Apr-2019","     2438.25","     2454.60","     2430.30","     2433.90","       30870641","          406.83"
"18-Apr-2019","     2442.95","     2443.65","     2374.95","     2380.10","       35700513","          513.46"
"22-Apr-2019","     2378.00","     2382.55","     2352.10","     2358.60","       26457781","          399.75"
"23-Apr-2019","     2369.85","     2408.10","     2356.15","     2361.75","       48552216","          774.18"
"24-Apr-2019","     2371.15","     2392.70","     2359.05","     2390.35","       32302166","          406.28"
"25-Apr-2019","     2402.95","     2410.70","     2370.10","     2379.55","       32489649","          580.75"
"26-Apr-2019","     2391.90","     2400.25","     2366.20","     2375.25","       20331252","          363.12"
"30-Apr-2019","     2379.10","     2416.35","     2345.20","     2408.75","       37686925","          774.23"
"02-May-2019","     2412.35","     2421.70","     2364.55","     2370.15","       26334980","          469.59"
"03-May-2019","     2374.70","     2381.05","     2345.20","     2349.05","       19568115","          370.05"
"06-May-2019","     2331.90","     2343.25","     2290.05","     2297.90","       19351079","          499.46"
"07-May-2019","     2303.75","     2313.70","     2195.60","     2234.95","       63471464","         1030.81"
"08-May-2019","     2230.25","     2235.65","     2112.90","     2133.65","      118090937","         2692.09"
"09-May-2019","     2149.40","     2224.15","     2142.00","     2209.95","       77338531","         1613.53"
"10-May-2019","     2224.50","     2246.25","     2212.95","     2228.00","       46074122","          955.20"
"13-May-2019","     2227.45","     2228.40","     2133.75","     2143.85","       39121070","          715.96"
"14-May-2019","     2141.15","     2167.40","     2100.50","     2149.05","       48962872","          729.38"
"15-May-2019","     2156.30","     2162.00","     2055.90","     2068.70","       89909987","         1685.18"
"16-May-2019","     2079.15","     2133.25","     2053.70","     2115.55","       61729727","          940.18"
"17-May-2019","     2125.90","     2203.50","     2121.60","     2190.25","       45478541","          992.77"
"20-May-2019","     2263.95","     2284.95","     2181.35","     2226.50","       52607380","          921.62"
"21-May-2019","     2231.20","     2249.00","     2159.40","     2174.90","       36751311","          663.65"
"22-May-2019","     2182.15","     2185.65","     2136.50","     2163.60","       32622855","          601.66"
"23-May-2019","     2204.15","     2236.95","     2184.60","     2192.10","       52580488","          937.62"
"24-May-2019","     2201.00","     2228.10","     2177.70","     2220.80","       65365805","         1606.93"
"27-May-2019","     2211.45","     2238.35","     2195.25","     2202.30","       48178021","          799.25"
"28-May-2019","     2224.95","     2252.95","     2187.90","     2245.85","       74100783","         1624.08"
"29-May-2019","     2240.85","     2241.50","     2198.85","     2225.30","       35720354","          663.13"
"30-May-2019","     2225.35","     2237.00","     2213.20","     2226.40","       31834032","          612.14"
