"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"12-Feb-2019","     2724.40","     2805.20","     2713.00","     2767.95","      144981172","         2615.86"
"13-Feb-2019","     2785.40","     2796.45","     2733.95","     2741.70","       90932779","         1551.74"
"14-Feb-2019","     2727.00","     2741.60","     2678.00","     2733.65","      124843281","         1695.38"
"15-Feb-2019","     2739.50","     2740.65","     2653.75","     2677.10","      104074553","         1665.29"
"18-Feb-2019","     2681.60","     2696.25","     2649.25","     2652.00","       88794007","         1256.24"
"19-Feb-2019","     2654.45","     2725.25","     2654.20","     2689.70","      102655306","         1443.52"
"20-Feb-2019","     2701.15","     2772.55","     2701.15","     2765.00","      123109869","         2172.30"
"21-Feb-2019","     2775.50","     2805.60","     2760.65","     2796.15","      112682863","         1791.16"
"22-Feb-2019","     2796.75","     2846.70","     2774.60","     2842.20","      109494758","         1847.80"
"25-Feb-2019","     2854.10","     2871.30","     2826.35","     2852.10","      142656681","         2085.84"
"26-Feb-2019","     2808.75","     2871.05","     2777.30","     2854.90","      116511246","         1869.52"
"27-Feb-2019","     2874.40","     2893.15","     2827.40","     2846.85","      118095703","         1831.90"
"28-Feb-2019","     2862.35","     2892.05","     2845.25","     2871.60","      211351359","         3022.42"
"01-Mar-2019","     2899.50","     2925.65","     2895.00","     2922.70","      148269173","         1816.90"
"05-Mar-2019","     2927.65","     3005.55","     2918.70","     3000.20","      131405584","         1972.61"
"06-Mar-2019","     3018.45","     3035.70","     3004.05","     3021.30","      115511278","         1778.22"
"07-Mar-2019","     3026.55","     3026.55","     2977.25","     2992.85","       91111688","         1455.91"
"08-Mar-2019","     2967.85","     2975.60","     2938.05","     2947.95","       99976638","         1584.06"
"11-Mar-2019","     2967.60","     3033.95","     2961.90","     3028.85","      111767821","         1785.30"
"12-Mar-2019","     3052.80","     3065.80","     3036.65","     3043.05","      101887781","         1843.13"
"13-Mar-2019","     3041.40","     3042.45","     2977.40","     2985.75","      109275233","         1780.10"
"14-Mar-2019","     2993.00","     3021.25","     2982.30","     3002.05","       78589536","         1321.65"
"15-Mar-2019","     2996.90","     3015.15","     2973.35","     3008.25","      136776443","         1871.75"
"18-Mar-2019","     3017.90","     3032.40","     2988.95","     3028.40","       80827976","         1279.75"
"19-Mar-2019","     3033.65","     3055.20","     3014.65","     3027.40","       86874452","         1472.43"
"20-Mar-2019","     3037.65","     3038.25","     2988.00","     2996.10","      120227305","         2054.64"
"22-Mar-2019","     2986.00","     3009.80","     2976.15","     2983.20","       90812893","         1580.73"
"25-Mar-2019","     2956.00","     2956.40","     2920.60","     2949.65","       74806493","         1230.15"
"26-Mar-2019","     2957.45","     2989.90","     2956.60","     2980.60","       67500715","         1095.74"
"27-Mar-2019","     2992.85","     3006.20","     2972.75","     2982.10","       76769807","         1233.90"
"28-Mar-2019","     2980.90","     2989.60","     2967.75","     2973.70","      124252847","         2348.34"
"29-Mar-2019","     2995.15","     3053.15","     2990.15","     3044.15","      157340337","         2693.42"
"01-Apr-2019","     3084.65","     3145.95","     3082.40","     3102.30","      138097719","         2627.05"
"02-Apr-2019","     3122.85","     3122.85","     3072.10","     3089.10","       88241720","         1459.90"
"03-Apr-2019","     3106.40","     3135.35","     3077.70","     3085.00","      106223165","         1754.21"
"04-Apr-2019","     3082.90","     3091.35","     3052.30","     3071.90","       93270209","         1302.53"
"05-Apr-2019","     3082.10","     3140.05","     3073.45","     3132.35","       91462167","         1582.00"
"08-Apr-2019","     3153.80","     3162.20","     3092.75","     3101.70","       85426172","         1583.82"
"09-Apr-2019","     3105.25","     3139.70","     3069.65","     3133.65","       78803264","         1381.40"
"10-Apr-2019","     3121.25","     3156.35","     3098.70","     3105.20","       90987829","         1678.39"
"11-Apr-2019","     3099.40","     3110.30","     3058.45","     3067.45","       79431691","         1357.97"
"12-Apr-2019","     3072.55","     3083.80","     3050.70","     3071.60","       60047587","         1062.11"
"15-Apr-2019","     3090.70","     3152.95","     3087.80","     3141.35","       94034922","         1778.88"
"16-Apr-2019","     3154.45","     3177.40","     3143.70","     3149.90","      135304023","         2932.13"
"18-Apr-2019","     3155.55","     3158.30","     3085.40","     3109.85","       95808893","         1633.70"
"22-Apr-2019","     3105.65","     3113.05","     3048.25","     3054.10","       68977745","         1167.08"
"23-Apr-2019","     3054.75","     3077.85","     3038.65","     3042.00","       65943741","         1106.17"
"24-Apr-2019","     3050.35","     3057.30","     3009.30","     3047.75","       86510330","         1566.17"
"25-Apr-2019","     3044.40","     3060.90","     2985.00","     2991.10","       89501642","         1704.95"
"26-Apr-2019","     3016.95","     3073.00","     3007.25","     3046.65","      136936099","         3486.24"
"30-Apr-2019","     3048.90","     3099.45","     2996.40","     3089.10","      117468859","         2262.82"
"02-May-2019","     3078.45","     3108.95","     3063.90","     3085.50","       80273337","         1691.59"
"03-May-2019","     3090.45","     3096.80","     3068.25","     3081.25","       65227022","         1186.28"
"06-May-2019","     3011.75","     3034.30","     3004.75","     3018.75","       77267042","         1539.10"
"07-May-2019","     3042.00","     3061.85","     2972.25","     2980.40","       78305970","         1415.10"
