"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"21-Feb-2019","     2787.95","     2788.05","     2751.15","     2756.25","      132022741","         1309.71"
"22-Feb-2019","     2754.20","     2788.20","     2748.70","     2777.40","       72286117","          838.50"
"25-Feb-2019","     2782.00","     2783.00","     2752.20","     2770.95","       63668758","          941.88"
"26-Feb-2019","     2737.80","     2749.60","     2690.50","     2729.70","       88268210","         1032.78"
"27-Feb-2019","     2746.45","     2795.45","     2728.05","     2743.85","      107772616","         1410.48"
"28-Feb-2019","     2745.70","     2775.25","     2745.70","     2760.80","       98411708","         1491.20"
"01-Mar-2019","     2776.85","     2842.65","     2773.00","     2832.00","      160953879","         1806.77"
"05-Mar-2019","     2826.10","     2907.60","     2821.25","     2895.80","      158295066","         1829.00"
"06-Mar-2019","     2903.75","     2953.35","     2895.80","     2911.05","      124918962","         1603.56"
"07-Mar-2019","     2921.30","     2962.35","     2899.25","     2952.05","      152723358","         1687.19"
"08-Mar-2019","     2951.75","     2973.80","     2926.15","     2937.30","      102025284","         1352.59"
"11-Mar-2019","     2972.80","     3018.55","     2960.60","     3006.95","      115707675","         1534.46"
"12-Mar-2019","     3031.55","     3041.10","     2987.20","     3001.25","      119732308","         1587.17"
"13-Mar-2019","     3010.45","     3059.35","     2972.80","     3050.60","      119493626","         1607.44"
"14-Mar-2019","     3063.20","     3067.35","     3024.90","     3041.90","      102037293","         1309.94"
"15-Mar-2019","     3051.20","     3129.60","     3050.80","     3098.95","      171864980","         2379.11"
"18-Mar-2019","     3105.80","     3133.05","     3072.00","     3117.90","      130529383","         1755.06"
"19-Mar-2019","     3132.80","     3213.45","     3123.10","     3176.30","      230510661","         2897.28"
"20-Mar-2019","     3177.70","     3198.05","     3144.50","     3190.05","      175102510","         2107.30"
"22-Mar-2019","     3202.35","     3219.20","     3113.15","     3124.20","      151535205","         1905.38"
"25-Mar-2019","     3081.50","     3093.70","     3065.45","     3082.60","       93219770","         1265.00"
"26-Mar-2019","     3093.50","     3195.65","     3093.05","     3178.95","      105576941","         1459.93"
"27-Mar-2019","     3200.00","     3248.70","     3189.00","     3229.40","      155081082","         2372.94"
"28-Mar-2019","     3240.05","     3492.70","     3231.50","     3346.25","      232384452","         3850.94"
"29-Mar-2019","     3367.45","     3395.50","     3323.45","     3339.35","      162556107","         2480.79"
"01-Apr-2019","     3372.85","     3445.90","     3369.00","     3384.85","      176295850","         2435.82"
"02-Apr-2019","     3397.60","     3446.60","     3355.10","     3425.10","      177095976","         2541.50"
"03-Apr-2019","     3448.05","     3472.85","     3323.50","     3332.10","      170436160","         2550.52"
"04-Apr-2019","     3338.35","     3387.55","     3299.15","     3318.20","      161659855","         2373.22"
"05-Apr-2019","     3337.40","     3343.50","     3265.70","     3294.90","      114719344","         1725.42"
"08-Apr-2019","     3310.85","     3352.20","     3241.40","     3258.70","      129540010","         1781.52"
"09-Apr-2019","     3268.20","     3319.20","     3220.10","     3312.00","      138622476","         2087.62"
"10-Apr-2019","     3304.85","     3327.20","     3269.90","     3277.70","      101759626","         1539.29"
"11-Apr-2019","     3279.35","     3291.20","     3239.35","     3275.60","       85292558","         1238.85"
"12-Apr-2019","     3275.95","     3307.20","     3245.95","     3302.25","       87571312","         1261.52"
"15-Apr-2019","     3308.95","     3333.40","     3279.40","     3289.20","       72993886","         1105.05"
"16-Apr-2019","     3297.70","     3313.05","     3272.50","     3280.10","       69133946","         1042.38"
"18-Apr-2019","     3285.55","     3286.30","     3199.80","     3212.65","       88112533","         1256.71"
"22-Apr-2019","     3195.70","     3196.10","     3122.55","     3133.90","       84079814","         1199.61"
"23-Apr-2019","     3137.10","     3189.30","     3110.60","     3121.35","       97418678","         1377.53"
"24-Apr-2019","     3133.10","     3177.10","     3107.10","     3169.50","       79500940","         1126.20"
"25-Apr-2019","     3170.40","     3183.35","     3110.65","     3119.90","      106757275","         1679.47"
