"","stock_id","day","interval","alpha","beta","alpha_std","beta_std","alpha_t","beta_t","alpha_p","beta_p","r_adj"
"145",6,4,600,-0.00031,0.91974,0.00097,0.18488,-0.32247,4.97474,0.7492,2e-05,0.418482217035456
"146",7,1,60,-0.00183,0.64674,0.00078,0.15756,-2.33823,4.10463,0.01997,5e-05,0.0454295022650548
"147",7,1,120,0.00029,1.08986,0.00102,0.19881,0.28031,5.48179,0.77959,0,0.148936393280588
"148",7,1,180,0.0014,1.33232,0.00137,0.25875,1.01979,5.14906,0.31007,0,0.186889460674328
"149",7,1,300,0.00121,1.3236,0.00133,0.23724,0.91035,5.57912,0.366,0,0.313405605483613
"150",7,1,360,0.00031,1.1686,0.00192,0.33058,0.1636,3.53497,0.87066,0.00085,0.172882915245822
"151",7,1,600,0.00298,1.68836,0.00216,0.33805,1.38001,4.9944,0.17715,2e-05,0.420483544391497
"152",7,2,60,-0.00209,0.56334,9e-04,0.18717,-2.33822,3.00981,0.01997,0.00281,0.023629219269629
"153",7,2,120,0.00167,1.36886,0.00099,0.20605,1.68944,6.64331,0.09302,0,0.206248810931105
"154",7,2,180,0.00216,1.4864,0.00116,0.2423,1.86985,6.13457,0.06416,0,0.248135076478489
"155",7,2,300,0.00205,1.48176,0.00152,0.31561,1.35365,4.69497,0.18054,1e-05,0.241751878998878
"156",7,2,360,0.00274,1.6481,0.00145,0.30031,1.88611,5.48807,0.06466,0,0.346164048390261
"157",7,2,600,0.00335,1.84966,0.00224,0.46558,1.49594,3.97276,0.14447,0.00038,0.309375572827481
"158",7,3,60,-0.00326,0.27232,0.00052,0.10809,-6.22599,2.51936,0,0.01223,0.0158038357336809
"159",7,3,120,-0.00215,0.46865,0.00064,0.13028,-3.36699,3.59711,0.00095,0.00042,0.0670970307246453
"160",7,3,180,-0.00126,0.60251,0.00082,0.16507,-1.54232,3.64997,0.12587,4e-04,0.0999191906604311
"161",7,3,300,0.00056,0.94819,0.00111,0.22226,0.50555,4.26612,0.61488,7e-05,0.206728305135166
"162",7,3,360,0.00116,1.04627,0.00105,0.2075,1.10476,5.0423,0.27416,1e-05,0.307520839607028
"163",7,3,600,0.00169,1.02933,0.00151,0.28102,1.12114,3.66283,0.27057,0.00089,0.27338910081628
"164",7,4,60,-0.00465,0.01236,0.00054,0.11184,-8.54334,0.11054,0,0.91205,-0.00298412339587784
"165",7,4,120,-0.00333,0.27462,0.00073,0.14818,-4.55341,1.85336,1e-05,0.06563,0.0145426284447029
"166",7,4,180,-0.00213,0.49671,0.00092,0.18507,-2.30588,2.68387,0.02301,0.00841,0.053381896006472
"167",7,4,300,-0.00321,0.23914,0.00126,0.24818,-2.54446,0.96356,0.01337,0.3389,-0.00110213460752928
"168",7,4,360,0.00095,1.07902,0.00141,0.27694,0.67178,3.89616,0.50464,0.00028,0.207979320324714
"169",7,4,600,-0.00125,0.54987,0.00197,0.37344,-0.63542,1.47246,0.52981,0.15098,0.0352185147104317
"170",8,1,60,-0.00381,0.20089,0.00038,0.07613,-10.06767,2.63873,0,0.00872,0.0176436297969921
"171",8,1,120,-0.00349,0.26092,0.00045,0.08815,-7.69622,2.96012,0,0.00353,0.0449306754636877
"172",8,1,180,-0.00328,0.293,0.00055,0.10437,-5.9314,2.80722,0,0.00592,0.0588677194774838
"173",8,1,300,-0.00331,0.28636,0.00076,0.1345,-4.36143,2.1291,5e-05,0.0371,0.051552885644505
"174",8,1,360,-0.00314,0.3134,0.00084,0.14459,-3.72494,2.16746,0.00048,0.03471,0.0640907308479148
"175",8,1,600,-0.0034,0.24959,0.00104,0.16183,-3.26308,1.54233,0.00268,0.13314,0.0413074286033762
"176",8,2,60,-0.00343,0.27686,0.00057,0.1193,-6.01103,2.32063,0,0.02091,0.0130366259813521
